"Version","Changes or 
Addition","Story Reference","Document Owner","Change Date"
"V 1.0","Initial Draft","","@Fareeda Nawaz","Jun 27, 2023"
"V 1.1","PMO Review","","@Kaukab Raza 
Kazmi","Jul 3, 2023"
"V 2.0","The user story has 
been updated as 
per the customer 
journey 3.0","","@Fareeda Nawaz","Jul 20, 2023"
"V 2.1","Addition of ‘Done’ 
button on ‘Set 
Passcode’ page","","@Fareeda Nawaz","Aug 3, 2023"
"V 2.2","User registration 
will be obsoleted if 
passcode removal 
configuration is 
enabled","changes are 
highlighted with 
green","@Ahmed Zia","Feb 23, 2024"
